op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.ConstAdder.AddConstant,3,12,16856,13,3.64e-05
QuantumArithmetic.ConstAdder.AddConstant,4,18,51524,10,3.6e-05
QuantumArithmetic.ConstAdder.AddConstant,5,23,50766,11,3.96e-05
QuantumArithmetic.ConstAdder.AddConstant,6,28,67256,15,5.4e-05
QuantumArithmetic.ConstAdder.AddConstant,7,33,83746,19,6.84e-05
QuantumArithmetic.ConstAdder.AddConstant,8,38,161676,23,8.28e-05
QuantumArithmetic.ConstAdder.AddConstant,10,47,111294,31,0.0001116
QuantumArithmetic.ConstAdder.AddConstant,11,52,90344,35,0.000154
QuantumArithmetic.ConstAdder.AddConstant,13,61,86042,43,0.0001892
QuantumArithmetic.ConstAdder.AddConstant,16,75,95910,55,0.000242
QuantumArithmetic.ConstAdder.AddConstant,19,88,99056,67,0.0002948
QuantumArithmetic.ConstAdder.AddConstant,23,106,103412,83,0.0003652
QuantumArithmetic.ConstAdder.AddConstant,27,124,107768,99,0.0004356
QuantumArithmetic.ConstAdder.AddConstant,32,146,114148,119,0.0006188
QuantumArithmetic.ConstAdder.AddConstant,38,172,122936,143,0.0007436
QuantumArithmetic.ConstAdder.AddConstant,45,202,133076,171,0.0008892
QuantumArithmetic.ConstAdder.AddConstant,54,240,145920,207,0.0010764
QuantumArithmetic.ConstAdder.AddConstant,64,283,211814,247,0.0012844
QuantumArithmetic.ConstAdder.AddConstant,76,334,229052,295,0.001534
QuantumArithmetic.ConstAdder.AddConstant,91,397,250346,355,0.001846
QuantumArithmetic.ConstAdder.AddConstant,108,469,307850,423,0.002538
QuantumArithmetic.ConstAdder.AddConstant,128,552,345200,503,0.003018
QuantumArithmetic.ConstAdder.AddConstant,152,653,390650,599,0.003594
QuantumArithmetic.ConstAdder.AddConstant,181,773,444650,715,0.00429
QuantumArithmetic.ConstAdder.AddConstant,215,914,508100,851,0.005106
QuantumArithmetic.ConstAdder.AddConstant,256,1083,584150,1015,0.00609
QuantumArithmetic.ConstAdder.AddConstant,304,1281,673250,1207,0.007242
QuantumArithmetic.ConstAdder.AddConstant,362,1519,965102,1439,0.0097852
QuantumArithmetic.ConstAdder.AddConstant,431,1802,1128676,1715,0.011662
QuantumArithmetic.ConstAdder.AddConstant,512,2134,1368652,2039,0.0138652
QuantumArithmetic.ConstAdder.AddConstant,609,2530,1597540,2427,0.0165036
QuantumArithmetic.ConstAdder.AddConstant,724,2999,1868622,2887,0.0196316
QuantumArithmetic.ConstAdder.AddConstant,861,3557,2191146,3435,0.023358
QuantumArithmetic.ConstAdder.AddConstant,1024,4219,3167798,4087,0.0310612
