op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
AKBF2011.Divide_Restoring,3,59,178838,228,0.0010032
AKBF2011.Divide_Restoring,4,75,160870,408,0.0021216
AKBF2011.Divide_Restoring,5,90,165940,640,0.003328
AKBF2011.Divide_Restoring,6,106,171348,924,0.0048048
AKBF2011.Divide_Restoring,7,121,176418,1260,0.006552
AKBF2011.Divide_Restoring,8,137,177810,1648,0.009888
AKBF2011.Divide_Restoring,10,167,264430,2580,0.01548
AKBF2011.Divide_Restoring,11,182,271180,3124,0.018744
AKBF2011.Divide_Restoring,13,213,285130,4368,0.026208
AKBF2011.Divide_Restoring,16,258,324884,6624,0.0450432
AKBF2011.Divide_Restoring,19,302,444556,9348,0.0635664
AKBF2011.Divide_Restoring,23,361,496658,13708,0.0932144
AKBF2011.Divide_Restoring,27,420,548760,18900,0.12852
AKBF2011.Divide_Restoring,32,494,591532,26560,0.180608
AKBF2011.Divide_Restoring,38,582,690204,37468,0.2847568
AKBF2011.Divide_Restoring,45,684,763848,52560,0.399456
AKBF2011.Divide_Restoring,54,815,858430,75708,0.5753808
AKBF2011.Divide_Restoring,64,959,962398,106368,0.8083968
AKBF2011.Divide_Restoring,76,1133,1251306,150024,1.2602016
AKBF2011.Divide_Restoring,91,1349,1459818,215124,1.8070416
AKBF2011.Divide_Restoring,108,1593,1675026,303048,2.5456032
AKBF2011.Divide_Restoring,128,1880,1928160,425728,3.5761152
AKBF2011.Divide_Restoring,152,2224,2231568,600400,5.04336
AKBF2011.Divide_Restoring,181,2638,3097004,851424,7.8331008
AKBF2011.Divide_Restoring,215,3123,3803934,1201420,11.053064
AKBF2011.Divide_Restoring,256,3707,4421806,1703424,15.6715008
AKBF2011.Divide_Restoring,304,4390,5211060,2402208,22.1003136
AKBF2011.Divide_Restoring,362,5214,7017300,3406420,34.0642
AKBF2011.Divide_Restoring,431,6193,8241050,4828924,48.28924
AKBF2011.Divide_Restoring,512,7341,9676050,6814720,68.1472
AKBF2011.Divide_Restoring,609,8714,11392300,9641688,96.41688
AKBF2011.Divide_Restoring,724,10341,13426050,13627128,136.27128
AKBF2011.Divide_Restoring,861,12277,18399666,19272624,208.1443392
AKBF2011.Divide_Restoring,1024,14579,21755982,27260928,294.4180224
AKBF2011.Divide_Restoring,1218,17317,25747986,38569188,416.5472304
AKBF2011.Divide_Restoring,1448,20560,30476280,54511408,588.7232064
AKBF2011.Divide_Restoring,1722,24422,41544284,77093940,894.289704
NonRestoring;QuantumArithmetic.CDKM2004.Add,3,30,104460,68,0.0002992
NonRestoring;QuantumArithmetic.CDKM2004.Add,4,38,99916,130,0.000572
NonRestoring;QuantumArithmetic.CDKM2004.Add,5,45,185130,189,0.0008316
NonRestoring;QuantumArithmetic.CDKM2004.Add,6,52,186824,265,0.001166
NonRestoring;QuantumArithmetic.CDKM2004.Add,7,59,165142,363,0.0018876
NonRestoring;QuantumArithmetic.CDKM2004.Add,8,66,167508,473,0.0024596
NonRestoring;QuantumArithmetic.CDKM2004.Add,10,79,171902,729,0.0037908
NonRestoring;QuantumArithmetic.CDKM2004.Add,11,86,174268,875,0.00455
NonRestoring;QuantumArithmetic.CDKM2004.Add,13,99,178662,1203,0.0062556
NonRestoring;QuantumArithmetic.CDKM2004.Add,16,119,256350,1785,0.01071
NonRestoring;QuantumArithmetic.CDKM2004.Add,19,139,265350,2475,0.01485
NonRestoring;QuantumArithmetic.CDKM2004.Add,23,165,277050,3563,0.021378
NonRestoring;QuantumArithmetic.CDKM2004.Add,27,191,288750,4843,0.029058
NonRestoring;QuantumArithmetic.CDKM2004.Add,32,223,303150,6713,0.040278
NonRestoring;QuantumArithmetic.CDKM2004.Add,38,262,439436,9353,0.0636004
NonRestoring;QuantumArithmetic.CDKM2004.Add,45,306,482868,12979,0.0882572
NonRestoring;QuantumArithmetic.CDKM2004.Add,54,364,534392,18505,0.125834
NonRestoring;QuantumArithmetic.CDKM2004.Add,64,427,570806,25785,0.175338
NonRestoring;QuantumArithmetic.CDKM2004.Add,76,502,668444,36105,0.274398
NonRestoring;QuantumArithmetic.CDKM2004.Add,91,596,736312,51435,0.390906
NonRestoring;QuantumArithmetic.CDKM2004.Add,108,702,812844,72073,0.5477548
NonRestoring;QuantumArithmetic.CDKM2004.Add,128,827,903094,100793,0.7660268
NonRestoring;QuantumArithmetic.CDKM2004.Add,152,976,1010672,141593,1.0761068
NonRestoring;QuantumArithmetic.CDKM2004.Add,181,1155,1306710,200115,1.680966
NonRestoring;QuantumArithmetic.CDKM2004.Add,215,1365,1491930,281579,2.3652636
NonRestoring;QuantumArithmetic.CDKM2004.Add,256,1618,1715076,398265,3.345426
NonRestoring;QuantumArithmetic.CDKM2004.Add,304,1913,1975266,560505,4.708242
NonRestoring;QuantumArithmetic.CDKM2004.Add,362,2269,2742602,793433,7.2995836
NonRestoring;QuantumArithmetic.CDKM2004.Add,431,2691,3413518,1123115,10.332658
NonRestoring;QuantumArithmetic.CDKM2004.Add,512,3186,3937228,1583033,14.5639036
NonRestoring;QuantumArithmetic.CDKM2004.Add,609,3778,4596884,2237395,20.584034
NonRestoring;QuantumArithmetic.CDKM2004.Add,724,4479,5338542,3159465,29.067078
NonRestoring;QuantumArithmetic.CDKM2004.Add,861,5313,7174370,4465075,44.65075
NonRestoring;QuantumArithmetic.CDKM2004.Add,1024,6304,8413120,6311865,63.11865
NonRestoring;QuantumArithmetic.CDKM2004.Add,1218,7482,9885620,8925433,89.25433
NonRestoring;QuantumArithmetic.CDKM2004.Add,1448,8878,11630620,12609113,126.09113
NonRestoring;QuantumArithmetic.CDKM2004.Add,1722,10539,15898982,17826073,192.5215884
NonRestoring;QuantumArithmetic.DKRS2004.Add,3,30,108540,55,0.000198
NonRestoring;QuantumArithmetic.DKRS2004.Add,4,40,93920,131,0.0005764
NonRestoring;QuantumArithmetic.DKRS2004.Add,5,52,167464,297,0.0013068
NonRestoring;QuantumArithmetic.DKRS2004.Add,6,61,156138,441,0.0022932
NonRestoring;QuantumArithmetic.DKRS2004.Add,7,72,159856,689,0.0035828
NonRestoring;QuantumArithmetic.DKRS2004.Add,8,81,162898,887,0.0046124
NonRestoring;QuantumArithmetic.DKRS2004.Add,10,104,162960,1623,0.009738
NonRestoring;QuantumArithmetic.DKRS2004.Add,11,115,241030,2049,0.012294
NonRestoring;QuantumArithmetic.DKRS2004.Add,13,137,250930,3059,0.018354
NonRestoring;QuantumArithmetic.DKRS2004.Add,16,165,263530,4507,0.027042
NonRestoring;QuantumArithmetic.DKRS2004.Add,19,200,279280,7017,0.042102
NonRestoring;QuantumArithmetic.DKRS2004.Add,23,240,390720,10401,0.0707268
NonRestoring;QuantumArithmetic.DKRS2004.Add,27,283,433574,14833,0.1008644
NonRestoring;QuantumArithmetic.DKRS2004.Add,32,332,479896,20543,0.1396924
NonRestoring;QuantumArithmetic.DKRS2004.Add,38,397,517466,30449,0.2070532
NonRestoring;QuantumArithmetic.DKRS2004.Add,45,471,610062,43623,0.3315348
NonRestoring;QuantumArithmetic.DKRS2004.Add,54,563,676486,63311,0.4811636
NonRestoring;QuantumArithmetic.DKRS2004.Add,64,663,748686,88611,0.6734436
NonRestoring;QuantumArithmetic.DKRS2004.Add,76,790,840380,128233,0.9745708
NonRestoring;QuantumArithmetic.DKRS2004.Add,91,945,1103490,186329,1.5651636
NonRestoring;QuantumArithmetic.DKRS2004.Add,108,1118,1256076,263731,2.2153404
NonRestoring;QuantumArithmetic.DKRS2004.Add,128,1320,1434240,370439,3.1116876
