op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.CDKM2004.Add,3,23,66446,12,4.32e-05
QuantumArithmetic.CDKM2004.Add,4,28,160056,18,6.48e-05
QuantumArithmetic.CDKM2004.Add,5,33,186786,21,7.56e-05
QuantumArithmetic.CDKM2004.Add,6,38,122796,27,9.72e-05
QuantumArithmetic.CDKM2004.Add,7,42,149364,33,0.0001188
QuantumArithmetic.CDKM2004.Add,8,47,128014,39,0.0001716
QuantumArithmetic.CDKM2004.Add,10,56,123712,51,0.0002244
QuantumArithmetic.CDKM2004.Add,11,61,118442,57,0.0002508
QuantumArithmetic.CDKM2004.Add,13,70,120620,69,0.0003036
QuantumArithmetic.CDKM2004.Add,16,84,117528,87,0.0003828
QuantumArithmetic.CDKM2004.Add,19,97,127154,105,0.000462
QuantumArithmetic.CDKM2004.Add,23,115,125030,129,0.0005676
QuantumArithmetic.CDKM2004.Add,27,132,122376,153,0.0007956
QuantumArithmetic.CDKM2004.Add,32,154,206932,183,0.0009516
QuantumArithmetic.CDKM2004.Add,38,180,215720,219,0.0011388
QuantumArithmetic.CDKM2004.Add,45,210,225860,261,0.0013572
QuantumArithmetic.CDKM2004.Add,54,249,229362,315,0.001638
QuantumArithmetic.CDKM2004.Add,64,292,243896,375,0.00195
QuantumArithmetic.CDKM2004.Add,76,342,260796,447,0.0023244
QuantumArithmetic.CDKM2004.Add,91,406,308540,537,0.003222
QuantumArithmetic.CDKM2004.Add,108,477,340490,639,0.003834
QuantumArithmetic.CDKM2004.Add,128,561,378290,759,0.004554
QuantumArithmetic.CDKM2004.Add,152,661,423290,903,0.005418
QuantumArithmetic.CDKM2004.Add,181,781,477290,1077,0.006462
QuantumArithmetic.CDKM2004.Add,215,922,540740,1281,0.007686
QuantumArithmetic.CDKM2004.Add,256,1092,820456,1527,0.0103836
QuantumArithmetic.CDKM2004.Add,304,1289,934322,1815,0.012342
QuantumArithmetic.CDKM2004.Add,362,1528,1072464,2163,0.0147084
QuantumArithmetic.CDKM2004.Add,431,1811,1236038,2577,0.0175236
QuantumArithmetic.CDKM2004.Add,512,2142,1427356,3063,0.0208284
QuantumArithmetic.CDKM2004.Add,609,2538,1656244,3645,0.024786
QuantumArithmetic.CDKM2004.Add,724,3007,1927326,4335,0.029478
QuantumArithmetic.CDKM2004.Add,861,3565,2736170,5157,0.0391932
QuantumArithmetic.CDKM2004.Add,1024,4228,3214856,6135,0.046626
QuantumArithmetic.CDKM2004.Add,1218,5015,3872830,7299,0.0554724
QuantumArithmetic.CDKM2004.Add,1448,5948,4546456,8679,0.0659604
QuantumArithmetic.CDKM2004.Add,1722,7058,5365876,10323,0.0784548
QuantumArithmetic.CDKM2004.Add,2048,8377,6318194,12279,0.0933204
QuantumArithmetic.CDKM2004.Add,2435,9941,7447402,14601,0.1109676
QuantumArithmetic.CDKM2004.Add,2896,11803,10680246,17367,0.1458828
