op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",3,33,109026,35,0.000126
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",4,42,81444,76,0.0003344
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",5,72,159856,899,0.0046748
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",6,84,154232,1338,0.0069576
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",7,95,232030,3391,0.020346
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",8,106,236980,4376,0.026256
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",10,128,345600,9630,0.05778
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",11,139,350342,15643,0.1063724
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",13,161,399058,26499,0.1801932
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",16,193,417554,45024,0.3061632
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",19,225,450450,85299,0.6482724
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",23,268,481496,152359,1.1579284
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",27,311,530542,247307,1.8795332
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",32,364,568808,388976,2.9562176
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",38,427,664614,657746,5.5250664
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",45,500,819000,1148387,9.6464508
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",54,594,1156988,1914434,16.0812456
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",64,698,1304924,3202704,29.4648768
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",76,823,1437174,5384604,49.5383568
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",91,978,1601164,9476043,87.1795956
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",108,1153,1974370,15545276,155.45276
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",128,1359,2265190,25935056,259.35056
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",152,1606,2573940,43507496,435.07496
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",181,1903,2945190,74380443,743.80443
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",215,2250,3813620,124602727,1345.7094516
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",256,2669,4457842,208632144,2253.2271552
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",304,3158,5170804,349661184,3776.3407872
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",362,3748,6837256,590828606,6853.6118296
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",431,4449,8116298,1002372943,11627.5261388
"QuantumArithmetic.CG20192.ModExpWindow(_,_,_,_,2,2)",512,5271,9802182,1673458256,19412.1157696
QuantumArithmetic.LYY2021.ModExp,3,52,162776,513,0.0026676
QuantumArithmetic.LYY2021.ModExp,4,63,166494,348,0.0018096
QuantumArithmetic.LYY2021.ModExp,5,75,236550,3267,0.019602
QuantumArithmetic.LYY2021.ModExp,6,86,241500,3154,0.018924
QuantumArithmetic.LYY2021.ModExp,7,97,380066,19425,0.13209
QuantumArithmetic.LYY2021.ModExp,8,108,390600,12408,0.074448
QuantumArithmetic.LYY2021.ModExp,10,130,399140,51404,0.3495472
QuantumArithmetic.LYY2021.ModExp,11,141,405498,74079,0.5037372
QuantumArithmetic.LYY2021.ModExp,13,163,405686,136776,1.0394976
QuantumArithmetic.LYY2021.ModExp,16,195,428790,106279,0.8077204
QuantumArithmetic.LYY2021.ModExp,19,228,488616,439727,3.3419252
QuantumArithmetic.LYY2021.ModExp,23,270,598140,766038,6.4347192
QuantumArithmetic.LYY2021.ModExp,27,313,875826,1338103,11.2400652
QuantumArithmetic.LYY2021.ModExp,32,366,682812,949494,7.9757496
QuantumArithmetic.LYY2021.ModExp,38,429,1011458,3750840,31.507056
QuantumArithmetic.LYY2021.ModExp,45,502,1097556,6170518,56.7687656
QuantumArithmetic.LYY2021.ModExp,54,596,1197008,10658213,98.0555596
QuantumArithmetic.LYY2021.ModExp,64,700,1373680,17971795,165.340514
QuantumArithmetic.LYY2021.ModExp,76,825,1597690,30197844,301.97844
QuantumArithmetic.LYY2021.ModExp,91,980,1791440,52556669,525.56669
QuantumArithmetic.LYY2021.ModExp,108,1155,2010190,87074947,870.74947
QuantumArithmetic.LYY2021.ModExp,128,1361,2517458,145729566,1573.8793128
QuantumArithmetic.LYY2021.ModExp,152,1608,2910904,245440803,2650.7606724
QuantumArithmetic.LYY2021.ModExp,181,1905,3343930,415931639,4492.0617012
QuantumArithmetic.LYY2021.ModExp,215,2252,3949816,700013253,7560.1431324
QuantumArithmetic.LYY2021.ModExp,256,2671,5428982,1178717389,13673.1217124
QuantumArithmetic.LYY2021.ModExp,304,3160,6306560,1973199108,22889.1096528
QuantumArithmetic.LYY2021.ModExp,362,3750,7298940,3341606517,38762.6355972
QuantumArithmetic.LYY2021.ModExp,431,4451,9491182,5640229989,69938.8518636
QuantumArithmetic.LYY2021.ModExp,512,5273,11071066,9465339531,117370.2101844
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",3,86,258908,1785,0.009282
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",4,126,259500,4704,0.028224
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",5,174,370572,10071,0.0684828
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",6,230,456940,18623,0.1266364
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",7,294,493932,31005,0.210834
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",8,366,552252,47925,0.36423
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",10,534,673548,98211,0.7464036
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",11,630,742860,132993,1.0107468
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",13,846,1034172,225375,1.89315
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",16,1230,1372860,431613,3.6255492
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",19,1686,1847052,736041,6.1827444
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",23,2406,3078668,1327725,12.21507
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",27,3254,4009172,2173265,19.994038
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",32,4494,5321092,3656205,33.637086
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",38,6246,8340620,6177375,61.77375
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",45,8654,11350620,10334591,103.34591
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",54,12326,18504428,17977391,194.1558228
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",64,17166,25561148,30084141,324.9087228
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",76,24030,35568860,50600553,546.4859724
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",91,34230,58074660,87200913,1011.5305908
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",108,47966,81178612,146220425,1696.15693
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,1)",128,67086,113371772,244054125,2831.02785
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",3,59,165142,405,0.002106
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",4,72,159856,784,0.0040768
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",5,86,164588,1359,0.0070668
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",6,99,233830,2189,0.013134
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",7,113,240130,3393,0.020358
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",8,126,245980,5227,0.031362
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",10,152,339856,13345,0.090746
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",11,165,365370,22701,0.1543668
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",13,247,430766,43429,0.2953172
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",16,298,485156,58377,0.4436652
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",19,349,521978,78079,0.5934004
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",23,513,676386,180261,1.3699836
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",27,596,736312,238001,1.8088076
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",32,700,905400,331087,2.7811308
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",38,982,1154124,625899,5.2575516
"QuantumArithmetic.LYY2021.ModExpWindowed(_,_,_,_,11)",45,1341,1560762,1110543,9.3285612
