op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.CT2002.Add,3,38,161676,36,0.0001296
QuantumArithmetic.CT2002.Add,4,47,115054,48,0.0002112
QuantumArithmetic.CT2002.Add,5,56,117232,60,0.000264
QuantumArithmetic.CT2002.Add,6,66,119652,72,0.0003168
QuantumArithmetic.CT2002.Add,7,75,121830,84,0.0003696
QuantumArithmetic.CT2002.Add,8,84,117528,96,0.0004224
QuantumArithmetic.CT2002.Add,10,102,121884,120,0.000528
QuantumArithmetic.CT2002.Add,11,110,123820,132,0.0005808
QuantumArithmetic.CT2002.Add,13,128,127504,156,0.0008112
QuantumArithmetic.CT2002.Add,16,154,206932,192,0.0009984
QuantumArithmetic.CT2002.Add,19,180,215720,228,0.0011856
QuantumArithmetic.CT2002.Add,20,189,218762,240,0.001248
QuantumArithmetic.CT2002.Add,23,215,217870,276,0.0014352
QuantumArithmetic.CT2002.Add,27,249,229362,324,0.0016848
QuantumArithmetic.CT2002.Add,32,292,253576,384,0.0019968
QuantumArithmetic.CT2002.Add,38,342,260796,456,0.0023712
QuantumArithmetic.CT2002.Add,45,402,306740,540,0.00324
QuantumArithmetic.CT2002.Add,54,477,340490,648,0.003888
QuantumArithmetic.CT2002.Add,64,561,378290,768,0.004608
QuantumArithmetic.CT2002.Add,76,661,423290,912,0.005472
QuantumArithmetic.CT2002.Add,91,786,479540,1092,0.006552
QuantumArithmetic.CT2002.Add,108,926,542540,1296,0.007776
QuantumArithmetic.CT2002.Add,128,1092,820456,1536,0.0104448
QuantumArithmetic.CT2002.Add,152,1289,934322,1824,0.0124032
QuantumArithmetic.CT2002.Add,181,1528,1072464,2172,0.0147696
QuantumArithmetic.CT2002.Add,215,1806,1233148,2580,0.017544
QuantumArithmetic.CT2002.Add,256,2142,1427356,3072,0.0208896
QuantumArithmetic.CT2002.Add,304,2534,1653932,3648,0.0248064
QuantumArithmetic.CT2002.Add,362,3007,1927326,4344,0.0295392
QuantumArithmetic.CT2002.Add,431,3569,2739058,5172,0.0393072
QuantumArithmetic.CT2002.Add,512,4228,3214856,6144,0.0466944
QuantumArithmetic.CT2002.Add,609,5015,3872830,7308,0.0555408
QuantumArithmetic.CT2002.Add,724,5948,4546456,8688,0.0660288
QuantumArithmetic.CT2002.Add,861,7058,5365876,10332,0.0785232
QuantumArithmetic.CT2002.Add,1024,8377,6318194,12288,0.0933888
QuantumArithmetic.CT2002.Add,1218,9945,7450290,14616,0.1110816
QuantumArithmetic.CT2002.Add,1448,11803,10680246,17376,0.1459584
QuantumArithmetic.CT2002.Add,1722,14014,12630348,20664,0.1735776
QuantumArithmetic.CT2002.Add,2048,16644,14950008,24576,0.2064384
