op,n,radix,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.WBC2023.AddWithOp,3,3,28,35896,11,3.96e-05
QuantumArithmetic.WBC2023.AddWithOp,3,5,28,35896,11,3.96e-05
QuantumArithmetic.WBC2023.AddWithOp,3,10,28,35896,11,3.96e-05
QuantumArithmetic.WBC2023.AddWithOp,3,25,28,35896,11,3.96e-05
QuantumArithmetic.WBC2023.AddWithOp,3,50,28,35896,11,3.96e-05
QuantumArithmetic.WBC2023.AddWithOp,3,100,28,35896,11,3.96e-05
QuantumArithmetic.WBC2023.AddWithOp,3,250,28,35896,11,3.96e-05
QuantumArithmetic.WBC2023.AddWithOp,4,3,47,108574,40,0.000176
QuantumArithmetic.WBC2023.AddWithOp,4,5,35,78582,9,3.24e-05
QuantumArithmetic.WBC2023.AddWithOp,4,10,35,78582,9,3.24e-05
QuantumArithmetic.WBC2023.AddWithOp,4,25,35,78582,9,3.24e-05
QuantumArithmetic.WBC2023.AddWithOp,4,50,35,78582,9,3.24e-05
QuantumArithmetic.WBC2023.AddWithOp,4,100,35,78582,9,3.24e-05
QuantumArithmetic.WBC2023.AddWithOp,4,250,35,78582,9,3.24e-05
QuantumArithmetic.WBC2023.AddWithOp,5,3,54,90828,43,0.0001892
QuantumArithmetic.WBC2023.AddWithOp,5,5,42,69524,12,4.32e-05
QuantumArithmetic.WBC2023.AddWithOp,5,10,42,69524,12,4.32e-05
QuantumArithmetic.WBC2023.AddWithOp,5,25,42,69524,12,4.32e-05
QuantumArithmetic.WBC2023.AddWithOp,5,50,42,69524,12,4.32e-05
QuantumArithmetic.WBC2023.AddWithOp,5,100,42,69524,12,4.32e-05
QuantumArithmetic.WBC2023.AddWithOp,5,250,42,69524,12,4.32e-05
QuantumArithmetic.WBC2023.AddWithOp,6,3,61,99002,46,0.0002024
QuantumArithmetic.WBC2023.AddWithOp,6,5,70,94700,78,0.0003432
QuantumArithmetic.WBC2023.AddWithOp,6,10,49,86338,15,5.4e-05
QuantumArithmetic.WBC2023.AddWithOp,6,25,49,86338,15,5.4e-05
QuantumArithmetic.WBC2023.AddWithOp,6,50,49,86338,15,5.4e-05
QuantumArithmetic.WBC2023.AddWithOp,6,100,49,86338,15,5.4e-05
QuantumArithmetic.WBC2023.AddWithOp,6,250,49,86338,15,5.4e-05
QuantumArithmetic.WBC2023.AddWithOp,7,3,79,103358,100,0.00044
QuantumArithmetic.WBC2023.AddWithOp,7,5,77,102874,81,0.0003564
QuantumArithmetic.WBC2023.AddWithOp,7,10,56,164592,18,6.48e-05
QuantumArithmetic.WBC2023.AddWithOp,7,25,56,164592,18,6.48e-05
QuantumArithmetic.WBC2023.AddWithOp,7,50,56,164592,18,6.48e-05
QuantumArithmetic.WBC2023.AddWithOp,7,100,56,164592,18,6.48e-05
QuantumArithmetic.WBC2023.AddWithOp,7,250,56,164592,18,6.48e-05
QuantumArithmetic.WBC2023.AddWithOp,8,3,86,105052,103,0.0004532
QuantumArithmetic.WBC2023.AddWithOp,8,5,84,111048,84,0.0003696
QuantumArithmetic.WBC2023.AddWithOp,8,10,63,191646,21,7.56e-05
QuantumArithmetic.WBC2023.AddWithOp,8,25,63,191646,21,7.56e-05
QuantumArithmetic.WBC2023.AddWithOp,8,50,63,191646,21,7.56e-05
QuantumArithmetic.WBC2023.AddWithOp,8,100,63,191646,21,7.56e-05
QuantumArithmetic.WBC2023.AddWithOp,8,250,63,191646,21,7.56e-05
QuantumArithmetic.WBC2023.AddWithOp,10,3,110,108460,160,0.000832
QuantumArithmetic.WBC2023.AddWithOp,10,5,97,107714,90,0.000396
QuantumArithmetic.WBC2023.AddWithOp,10,10,77,135274,27,0.0001188
QuantumArithmetic.WBC2023.AddWithOp,10,25,77,135274,27,0.0001188
QuantumArithmetic.WBC2023.AddWithOp,10,50,77,135274,27,0.0001188
QuantumArithmetic.WBC2023.AddWithOp,10,100,77,135274,27,0.0001188
QuantumArithmetic.WBC2023.AddWithOp,10,250,77,135274,27,0.0001188
QuantumArithmetic.WBC2023.AddWithOp,11,3,117,104346,163,0.0008476
QuantumArithmetic.WBC2023.AddWithOp,11,5,119,105022,176,0.0009152
QuantumArithmetic.WBC2023.AddWithOp,11,10,126,107388,173,0.0008996
QuantumArithmetic.WBC2023.AddWithOp,11,25,84,149928,30,0.000132
QuantumArithmetic.WBC2023.AddWithOp,11,50,84,149928,30,0.000132
QuantumArithmetic.WBC2023.AddWithOp,11,100,84,149928,30,0.000132
QuantumArithmetic.WBC2023.AddWithOp,11,250,84,149928,30,0.000132
QuantumArithmetic.WBC2023.AddWithOp,13,3,143,174174,240,0.001248
QuantumArithmetic.WBC2023.AddWithOp,13,5,132,109416,182,0.0009464
QuantumArithmetic.WBC2023.AddWithOp,13,10,139,118262,179,0.0009308
QuantumArithmetic.WBC2023.AddWithOp,13,25,97,127154,36,0.0001584
QuantumArithmetic.WBC2023.AddWithOp,13,50,97,127154,36,0.0001584
QuantumArithmetic.WBC2023.AddWithOp,13,100,97,127154,36,0.0001584
QuantumArithmetic.WBC2023.AddWithOp,13,250,97,127154,36,0.0001584
QuantumArithmetic.WBC2023.AddWithOp,16,3,176,185328,320,0.001664
QuantumArithmetic.WBC2023.AddWithOp,16,5,167,182286,274,0.0014248
QuantumArithmetic.WBC2023.AddWithOp,16,10,159,125022,188,0.0009776
QuantumArithmetic.WBC2023.AddWithOp,16,25,117,125514,45,0.000198
QuantumArithmetic.WBC2023.AddWithOp,16,50,117,125514,45,0.000198
QuantumArithmetic.WBC2023.AddWithOp,16,100,117,125514,45,0.000198
QuantumArithmetic.WBC2023.AddWithOp,16,250,117,125514,45,0.000198
QuantumArithmetic.WBC2023.AddWithOp,19,3,208,196144,400,0.00208
QuantumArithmetic.WBC2023.AddWithOp,19,5,187,189046,283,0.0014716
QuantumArithmetic.WBC2023.AddWithOp,19,10,178,131444,197,0.0010244
QuantumArithmetic.WBC2023.AddWithOp,19,25,137,130354,54,0.0002376
QuantumArithmetic.WBC2023.AddWithOp,19,50,137,130354,54,0.0002376
QuantumArithmetic.WBC2023.AddWithOp,19,100,137,130354,54,0.0002376
QuantumArithmetic.WBC2023.AddWithOp,19,250,137,130354,54,0.0002376
QuantumArithmetic.WBC2023.AddWithOp,23,3,243,207974,443,0.0023036
QuantumArithmetic.WBC2023.AddWithOp,23,5,230,193900,398,0.0020696
QuantumArithmetic.WBC2023.AddWithOp,23,10,230,203580,372,0.0019344
QuantumArithmetic.WBC2023.AddWithOp,23,25,163,136646,66,0.0002904
QuantumArithmetic.WBC2023.AddWithOp,23,50,163,136646,66,0.0002904
QuantumArithmetic.WBC2023.AddWithOp,23,100,163,136646,66,0.0002904
QuantumArithmetic.WBC2023.AddWithOp,23,250,163,136646,66,0.0002904
QuantumArithmetic.WBC2023.AddWithOp,27,3,283,221494,546,0.0028392
QuantumArithmetic.WBC2023.AddWithOp,27,5,272,217776,513,0.0026676
QuantumArithmetic.WBC2023.AddWithOp,27,10,255,212030,384,0.0019968
QuantumArithmetic.WBC2023.AddWithOp,27,25,294,215532,461,0.0023972
QuantumArithmetic.WBC2023.AddWithOp,27,50,189,142938,78,0.0003432
QuantumArithmetic.WBC2023.AddWithOp,27,100,189,142938,78,0.0003432
QuantumArithmetic.WBC2023.AddWithOp,27,250,189,142938,78,0.0003432
QuantumArithmetic.WBC2023.AddWithOp,32,3,340,259480,703,0.004218
QuantumArithmetic.WBC2023.AddWithOp,32,5,321,250930,631,0.003786
QuantumArithmetic.WBC2023.AddWithOp,32,10,313,247330,562,0.003372
QuantumArithmetic.WBC2023.AddWithOp,32,25,326,226348,476,0.0024752
QuantumArithmetic.WBC2023.AddWithOp,32,50,221,158938,93,0.0004836
QuantumArithmetic.WBC2023.AddWithOp,32,100,221,158938,93,0.0004836
QuantumArithmetic.WBC2023.AddWithOp,32,250,221,158938,93,0.0004836
QuantumArithmetic.WBC2023.AddWithOp,38,3,404,288280,863,0.005178
QuantumArithmetic.WBC2023.AddWithOp,38,5,372,273880,712,0.004272
QuantumArithmetic.WBC2023.AddWithOp,38,10,351,264430,580,0.00348
QuantumArithmetic.WBC2023.AddWithOp,38,25,364,270280,494,0.002964
QuantumArithmetic.WBC2023.AddWithOp,38,50,260,172120,111,0.0005772
QuantumArithmetic.WBC2023.AddWithOp,38,100,260,172120,111,0.0005772
QuantumArithmetic.WBC2023.AddWithOp,38,250,260,172120,111,0.0005772
QuantumArithmetic.WBC2023.AddWithOp,45,3,471,318430,1006,0.006036
QuantumArithmetic.WBC2023.AddWithOp,45,5,435,302230,856,0.005136
QuantumArithmetic.WBC2023.AddWithOp,45,10,423,296830,784,0.004704
QuantumArithmetic.WBC2023.AddWithOp,45,25,408,290080,515,0.00309
QuantumArithmetic.WBC2023.AddWithOp,45,50,304,186992,132,0.0006864
QuantumArithmetic.WBC2023.AddWithOp,45,100,304,186992,132,0.0006864
QuantumArithmetic.WBC2023.AddWithOp,45,250,304,186992,132,0.0006864
QuantumArithmetic.WBC2023.AddWithOp,54,3,565,360730,1246,0.007476
QuantumArithmetic.WBC2023.AddWithOp,54,5,525,342730,1089,0.006534
QuantumArithmetic.WBC2023.AddWithOp,54,10,506,334180,994,0.005964
QuantumArithmetic.WBC2023.AddWithOp,54,25,521,340930,945,0.00567
QuantumArithmetic.WBC2023.AddWithOp,54,50,569,362530,942,0.005652
QuantumArithmetic.WBC2023.AddWithOp,54,100,361,206258,159,0.0008268
QuantumArithmetic.WBC2023.AddWithOp,54,250,361,206258,159,0.0008268
QuantumArithmetic.WBC2023.AddWithOp,64,3,675,410230,1540,0.00924
QuantumArithmetic.WBC2023.AddWithOp,64,5,621,385930,1325,0.00795
QuantumArithmetic.WBC2023.AddWithOp,64,10,596,374680,1207,0.007242
QuantumArithmetic.WBC2023.AddWithOp,64,25,584,369280,975,0.00585
QuantumArithmetic.WBC2023.AddWithOp,64,50,632,390880,972,0.005832
QuantumArithmetic.WBC2023.AddWithOp,64,100,425,288850,189,0.0009828
